400,0.846443653
410,0.729269709
420,0.628316258
425,0.583207847
430,0.541337882
432.5,0.521543996
435,0.502473868
437.5,0.484101035
440,0.4664
442.5,0.449346199
445,0.432915966
447.5,0.4170865
450,0.401835835
455,0.372987026
460,0.346209345
470,0.298283279
480,0.256991661
490,0.221416077
500,0.190765254
520,0.141605304
540,0.105113807
560,0.078026119
580,0.057918893
600,0.042993272
610,0.037041675
620,0.031913963
630,0.027496085
640,0.023689778
650,0.020410381
660,0.017584954
670,0.015150653
672.5,0.014596673
675,0.014062949
677.5,0.013548741
680,0.013053335
682.5,0.012576043
685,0.012116203
690,0.01124635
700,0.009689508
