300,0,10,0
305,0,4.8,0
310,0,2.7,0
315,0,1.35,0
320,0,0.8,0
325,0,0.38,0
330,0,0.16,0
335,0,0.075,0
340,0,0.04,0
345,0,0.019,0
350,0,0.007,0
360,0,0,0
370,0,0,0
380,0,0,0
390,0,0,0
400,0,0,0
410,0,0,0
420,0,0,0
430,0,0,0
440,0,0,0
450,0,0.003,0
460,0,0.006,0
470,0,0.009,0
480,0,0.014,0
490,0,0.021,0
500,0,0.03,0
510,0,0.04,0
520,0,0.048,0
530,0,0.063,0
540,0,0.075,0
550,0,0.085,0
570,0,0.12,0
593,0.075,0.119,0
610,0,0.12,0
630,0,0.09,0
656,0,0.065,0
667.6,0,0.051,0
690,0.016,0.028,0.15
710,0.0125,0.018,0
718,1.8,0.015,0
724.4,2.5,0.012,0
740,0.061,0.01,0
752.5,0.0008,0.008,0
757.5,0.0001,0.007,0
762.5,0.00001,0.006,4
767.5,0.00001,0.005,0.35
780,0.0006,0,0
800,0.036,0,0
816,1.6,0,0
823.7,2.5,0,0
831.5,0.5,0,0
840,0.155,0,0
860,0.00001,0,0
880,0.0026,0,0
905,7,0,0
915,5,0,0
925,5,0,0
930,27,0,0
937,55,0,0
948,45,0,0
965,4,0,0
980,1.48,0,0
993.5,0.1,0,0
1040,0.00001,0,0
1070,0.001,0,0
1100,3.2,0,0
1120,115,0,0
1130,70,0,0
1145,75,0,0
1161,10,0,0
1170,5,0,0
1200,2,0,0
1240,0.002,0,0.05
1270,0.002,0,0.3
1290,0.1,0,0.02
1320,4,0,0.0002
1350,200,0,0.00011
1395,1000,0,0.00001
1442.5,185,0,0.05
1462.5,80,0,0.011
1477,80,0,0.005
1497,12,0,0.0006
1520,0.16,0,0
1539,0.002,0,0.005
1558,0.0005,0,0.13
1578,0.0001,0,0.04
1592,0.00001,0,0.06
1610,0.0001,0,0.13
1630,0.001,0,0.001
1646,0.01,0,0.0014
1678,0.036,0,0.0001
1740,1.1,0,0.00001
1800,130,0,0.00001
1860,1000,0,0.0001
1920,500,0,0.001
1960,100,0,4.3
1985,4,0,0.2
2005,2.9,0,21
2035,1,0,0.13
2065,0.4,0,1
2100,0.22,0,0.08
2148,0.25,0,0.001
2198,0.33,0,0.00038
2270,0.5,0,0.001
2360,4,0,0.0005
2450,80,0,0.00015
2500,310,0,0.00014
2600,15000,0,0.00066
2700,22000,0,100
2800,8000,0,150
2900,650,0,0.13
3000,240,0,0.0095
3100,230,0,0.001
3200,100,0,0.8
3300,120,0,1.9
3400,19.5,0,1.3
3500,3.6,0,0.075
3600,3.1,0,0.01
3700,2.5,0,0.00195
3800,1.4,0,0.004
3900,0.17,0,0.29
4000,0.0045,0,0.025
